A1,A2,A3,A4,stop_id,stop_name,stop_lat,stop_lon,verification_status,stop_remarks,stop_code,old_stop_id,stop_id_stepp,public_visible,location_type,zone_shift,stop_url,parent_station,wheelchair_boarding,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2,zone_id,stop_timezone,level_id,platform_code
0,0,0,1,100214,FOROS BOAVISTA (ESTR CIRCUNV) VIVENDA,38.755100000,-8.622470000,,,100214,,32226,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100215,FOROS BOAVISTA ( MONTE SERÔDIOS),38.754300000,-8.617200000,,,100215,,32225,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100216,FOROS BOAVISTA ( MONTE SERÔDIOS),38.754300000,-8.617140000,,,100216,,32225,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100217,FOROS BOAVISTA (QTA VERÍSSIMOS),38.750400000,-8.621570000,,,100217,,32224,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100218,FOROS BOAVISTA (QTA VERÍSSIMOS),38.750400000,-8.621530000,,,100218,,32224,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100219,RUA DOS DESCOBRIMENTOS ( S J CRAVEIRAS),38.665800000,-8.584550000,,,100219,,129152,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100220,RUA DOS DESCOBRIMENTOS ( S J CRAVEIRAS),38.665800000,-8.584510000,,,100220,,129152,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100221,ESTACAO SÃO JOÃO DAS CRAVEIRAS,38.667500000,-8.585880000,,,100221,,129153,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100222,ESTACAO SÃO JOÃO DAS CRAVEIRAS,38.667600000,-8.585820000,,,100222,,129153,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100223,R MANUEL AFONSO ( QTA DOS MOCHOS),38.673600000,-8.584530000,,,100223,,129155,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100224,R MANUEL AFONSO ( QTA DOS MOCHOS),38.673700000,-8.584520000,,,100224,,129155,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100225,RUA DA ESTREMADURA (X) R DOS MARMELEIROS,38.674700000,-8.592300000,,,100225,,129156,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100227,RUA DA ESTREMADURA (X) R JOSÉ BONIFÁCIO,38.674900000,-8.597230000,,,100227,,129157,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100229,R ESTREMADURA X R GABRIEL NUNES CALÇADO,38.675700000,-8.605650000,,,100229,,129154,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100231,PEGÕES CRUZ (FABRICA),38.673700000,-8.614300000,,,100231,,32198,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
